Entity,Code,Year,"Employment to population ratio, 15+, female (%) (national estimate)"
Dominican Republic,DOM,2009,35.94
Dominican Republic,DOM,2010,38.79
Dominican Republic,DOM,2011,40.08
Dominican Republic,DOM,2012,41.11
Dominican Republic,DOM,2013,40.4
Dominican Republic,DOM,2014,41.04
Dominican Republic,DOM,2015,43.09
Dominican Republic,DOM,2016,43.8
Dominican Republic,DOM,2017,45.23
Dominican Republic,DOM,2018,45.93
Dominican Republic,DOM,2019,47.65
Dominican Republic,DOM,2020,43.45
Dominican Republic,DOM,2021,45.03
East Timor,TLS,2001,32.1
East Timor,TLS,2010,25.66
East Timor,TLS,2013,42.06
East Timor,TLS,2016,57.53
Ecuador,ECU,1996,42.26
Ecuador,ECU,1997,43.09
Ecuador,ECU,1998,44.53
Ecuador,ECU,2000,43.01
Ecuador,ECU,2001,51.88
Ecuador,ECU,2002,46.68
Ecuador,ECU,2003,46.17
Ecuador,ECU,2004,49.86
Ecuador,ECU,2005,49.53
Ecuador,ECU,2006,50.51
Ecuador,ECU,2007,50.08
Ecuador,ECU,2008,49.59
Ecuador,ECU,2009,46.96
Ecuador,ECU,2010,45.86
Ecuador,ECU,2011,45.31
Ecuador,ECU,2012,46.46
Ecuador,ECU,2013,46.55
Ecuador,ECU,2014,45.96
Ecuador,ECU,2015,49.79
Ecuador,ECU,2016,52.4
Ecuador,ECU,2017,53.62
Ecuador,ECU,2018,52.24
Ecuador,ECU,2019,52.03
Ecuador,ECU,2020,44.88
Ecuador,ECU,2021,50.78
Egypt,EGY,1973,4.35
Egypt,EGY,1975,4.82
Egypt,EGY,1977,5.66
Egypt,EGY,1978,6.6
Egypt,EGY,1979,5.22
Egypt,EGY,1980,5.51
Egypt,EGY,1981,3.81
Egypt,EGY,1982,3.8
Egypt,EGY,1983,14.78
Egypt,EGY,1984,15.43
Egypt,EGY,1989,27.42
Egypt,EGY,1990,21.92
Egypt,EGY,1991,17.31
Egypt,EGY,1992,19.15
Egypt,EGY,1993,17.35
Egypt,EGY,1994,17.89
Egypt,EGY,1995,16.56
Egypt,EGY,1996,11.5
Egypt,EGY,1998,15.58
Egypt,EGY,1999,16.33
Egypt,EGY,2000,10.4
Egypt,EGY,2001,15.27
Egypt,EGY,2002,13.96
Egypt,EGY,2008,17.62
Egypt,EGY,2009,17.67
Egypt,EGY,2010,17.96
Egypt,EGY,2011,17.35
Egypt,EGY,2012,17.01
Egypt,EGY,2013,17.38
Egypt,EGY,2014,17.53
Egypt,EGY,2015,17.04
Egypt,EGY,2016,17.51
Egypt,EGY,2017,16.87
Egypt,EGY,2018,14.38
Egypt,EGY,2019,12.23
Egypt,EGY,2020,11.76
El Salvador,SLV,1992,28.7
El Salvador,SLV,1995,34.4
El Salvador,SLV,1996,38.86
El Salvador,SLV,1997,39.18
El Salvador,SLV,1998,41.85
El Salvador,SLV,1999,41.65
El Salvador,SLV,2000,42.6
El Salvador,SLV,2001,42.2
El Salvador,SLV,2002,39.7
El Salvador,SLV,2003,40.76
El Salvador,SLV,2004,38.41
El Salvador,SLV,2005,42.6
El Salvador,SLV,2006,45.01
El Salvador,SLV,2007,45.06
El Salvador,SLV,2008,45.56
El Salvador,SLV,2009,45.24
El Salvador,SLV,2010,44.84
El Salvador,SLV,2011,44.98
El Salvador,SLV,2012,45.81
El Salvador,SLV,2013,46.99
El Salvador,SLV,2014,45.55
El Salvador,SLV,2015,44.39
El Salvador,SLV,2016,44.74
El Salvador,SLV,2017,43.91
El Salvador,SLV,2018,43.79
El Salvador,SLV,2019,44.28
El Salvador,SLV,2020,42.9
El Salvador,SLV,2021,43.24
Estonia,EST,1997,52.27
Estonia,EST,1998,47.95
Estonia,EST,1999,46.25
Estonia,EST,2000,46.22
Estonia,EST,2001,45.04
Estonia,EST,2002,46.64
Estonia,EST,2003,46.73
Estonia,EST,2004,48.43
Estonia,EST,2005,49.74
Estonia,EST,2006,51.6
Estonia,EST,2007,51.92
Estonia,EST,2008,51.9
Estonia,EST,2009,49.02
Estonia,EST,2010,47.26
Estonia,EST,2011,49.19
Estonia,EST,2012,50.31
Estonia,EST,2013,50.8
Estonia,EST,2014,50.82
Estonia,EST,2015,52.44
Estonia,EST,2016,52.87
Estonia,EST,2017,53.99
Estonia,EST,2018,54.31
Estonia,EST,2019,54.8
Estonia,EST,2020,53.7
Estonia,EST,2021,55.06
Eswatini,SWZ,1995,36.6
Eswatini,SWZ,1997,32.01
Eswatini,SWZ,2016,35.63
Ethiopia,ETH,1999,51.72
Ethiopia,ETH,2005,72.36
Ethiopia,ETH,2013,72.11
Ethiopia,ETH,2021,54.57
Europe and Central Asia (WB),,1992,45.447308
Europe and Central Asia (WB),,1993,43.926434
Europe and Central Asia (WB),,1994,43.265934
Europe and Central Asia (WB),,1995,43.39104
Europe and Central Asia (WB),,1996,42.780197
Europe and Central Asia (WB),,1997,42.338787
Europe and Central Asia (WB),,1998,42.543964
Europe and Central Asia (WB),,1999,43.841377
Europe and Central Asia (WB),,2000,44.377365
Europe and Central Asia (WB),,2001,44.581356
Europe and Central Asia (WB),,2002,44.856857
Europe and Central Asia (WB),,2003,44.931328
Europe and Central Asia (WB),,2004,45.56696
Europe and Central Asia (WB),,2005,45.576714
Europe and Central Asia (WB),,2006,46.033535
Europe and Central Asia (WB),,2007,46.654625
Europe and Central Asia (WB),,2008,47.484337
Europe and Central Asia (WB),,2009,47.179646
Europe and Central Asia (WB),,2010,46.933815
Europe and Central Asia (WB),,2011,47.31702
Europe and Central Asia (WB),,2012,47.434742
Europe and Central Asia (WB),,2013,47.446835
Europe and Central Asia (WB),,2014,48.032215
Europe and Central Asia (WB),,2015,48.72846
Europe and Central Asia (WB),,2016,48.847946
Europe and Central Asia (WB),,2017,48.140907
Europe and Central Asia (WB),,2018,48.15206
Europe and Central Asia (WB),,2019,48.33528
Europe and Central Asia (WB),,2020,46.2286
Europe and Central Asia (WB),,2021,46.880047
European Union (27),,1983,33.4336
European Union (27),,1984,34.305256
European Union (27),,1985,34.444054
European Union (27),,1986,34.744156
European Union (27),,1987,35.07453
European Union (27),,1988,35.58169
European Union (27),,1989,36.06686
European Union (27),,1990,38.22573
European Union (27),,1991,39.06433
European Union (27),,1992,40.27436
European Union (27),,1993,39.605106
European Union (27),,1994,39.458908
European Union (27),,1995,40.42289
European Union (27),,1996,39.47902
European Union (27),,1997,40.108723
European Union (27),,1998,40.80665
European Union (27),,1999,41.32724
European Union (27),,2000,41.64742
European Union (27),,2001,42.11221
European Union (27),,2002,42.003242
European Union (27),,2003,42.44076
European Union (27),,2004,42.53214
European Union (27),,2005,42.957993
European Union (27),,2006,43.80724
European Union (27),,2007,44.710194
European Union (27),,2008,45.250233
European Union (27),,2009,44.81568
European Union (27),,2010,44.74888
European Union (27),,2011,44.85905
European Union (27),,2012,44.801968
European Union (27),,2013,44.7244
European Union (27),,2014,45.06584
European Union (27),,2015,45.47608
European Union (27),,2016,46.12757
European Union (27),,2017,46.816467
European Union (27),,2018,47.362816
European Union (27),,2019,47.84244
European Union (27),,2020,46.969456
European Union (27),,2021,47.50455
Fiji,FJI,1996,36.28
Fiji,FJI,2004,33.4
Fiji,FJI,2005,33.04
Fiji,FJI,2011,43.36
Fiji,FJI,2014,37.78
Fiji,FJI,2016,36.41
Finland,FIN,1977,42.8
Finland,FIN,1979,53.61
Finland,FIN,1980,44.01
Finland,FIN,1981,54.96
Finland,FIN,1982,67.49
Finland,FIN,1984,55.93
Finland,FIN,1985,56.86
Finland,FIN,1986,56.3
Finland,FIN,1987,55.91
Finland,FIN,1988,55.98
Finland,FIN,1989,57.31
Finland,FIN,1990,63.07
Finland,FIN,1991,60.29
Finland,FIN,1992,56.15
Finland,FIN,1993,52.44
Finland,FIN,1994,51.47
Finland,FIN,1995,47.17
Finland,FIN,1996,46.11
Finland,FIN,1997,46.53
Finland,FIN,1998,47.64
Finland,FIN,1999,50.89
Finland,FIN,2000,51.32
Finland,FIN,2001,52.23
Finland,FIN,2002,52.74
Finland,FIN,2003,52.49
Finland,FIN,2004,51.69
Finland,FIN,2005,51.88
Finland,FIN,2006,52.46
Finland,FIN,2007,53.25
Finland,FIN,2008,53.55
Finland,FIN,2009,52.64
Finland,FIN,2010,51.74
Finland,FIN,2011,51.83
Finland,FIN,2012,52.03
Finland,FIN,2013,51.36
Finland,FIN,2014,51.07
Finland,FIN,2015,50.69
Finland,FIN,2016,50.28
Finland,FIN,2017,50.57
Finland,FIN,2018,51.81
Finland,FIN,2019,52.35
Finland,FIN,2020,51.12
Finland,FIN,2021,52.68
France,FRA,1979,38.88
France,FRA,1980,38.86
France,FRA,1981,38.84
France,FRA,1982,39.23
France,FRA,1983,41.06
France,FRA,1984,40.83
France,FRA,1985,40.61
France,FRA,1986,41.32
France,FRA,1987,40.55
France,FRA,1988,40.71
France,FRA,1989,40.89
France,FRA,1990,41.02
France,FRA,1991,41.43
France,FRA,1992,41.24
France,FRA,1993,41.37
France,FRA,1994,41.02
France,FRA,1995,41.44
France,FRA,1996,41.56
France,FRA,1997,41.31
France,FRA,1998,41.74
France,FRA,1999,42.12
France,FRA,2000,43.09
France,FRA,2001,43.73
France,FRA,2002,43.55
France,FRA,2003,45.73
France,FRA,2004,45.19
France,FRA,2005,45.4
France,FRA,2006,45.55
France,FRA,2007,46.4
France,FRA,2008,46.92
France,FRA,2009,46.55
France,FRA,2010,46.41
France,FRA,2011,46.28
France,FRA,2012,46.37
France,FRA,2013,46.66
France,FRA,2014,46.46
France,FRA,2015,46.53
France,FRA,2016,46.53
France,FRA,2017,46.5
France,FRA,2018,46.77
France,FRA,2019,46.98
France,FRA,2020,46.6
France,FRA,2021,48.15
French Polynesia,PYF,1988,38.96
French Polynesia,PYF,1996,40.7
French Polynesia,PYF,2002,41.22
French Polynesia,PYF,2007,41.2
French Polynesia,PYF,2012,37.92
Gabon,GAB,1993,46.14
Gabon,GAB,2005,41.52
Gabon,GAB,2010,28.53
Gambia,GMB,2012,44.08
Gambia,GMB,2018,54.41
Georgia,GEO,1998,49.9
Georgia,GEO,1999,51.15
Georgia,GEO,2000,54
Georgia,GEO,2001,52.05
Georgia,GEO,2002,49.86
Georgia,GEO,2003,50.92
Georgia,GEO,2004,50.16
Georgia,GEO,2005,48.82
Georgia,GEO,2006,47.4
Georgia,GEO,2007,48.1
Georgia,GEO,2008,44.9
Georgia,GEO,2009,44.23
Georgia,GEO,2010,46.01
Georgia,GEO,2011,46.47
Georgia,GEO,2012,46.86
Georgia,GEO,2013,47.32
Georgia,GEO,2014,49.04
Georgia,GEO,2015,50.75
Georgia,GEO,2016,50.57
Georgia,GEO,2017,50.79
Georgia,GEO,2018,49.34
Georgia,GEO,2019,48.99
Georgia,GEO,2020,49.39
Germany,DEU,1983,37.09
Germany,DEU,1984,37.35
Germany,DEU,1985,37.63
Germany,DEU,1986,38.14
Germany,DEU,1987,38.16
Germany,DEU,1988,38.78
Germany,DEU,1989,39.35
Germany,DEU,1990,42.58
Germany,DEU,1991,45
Germany,DEU,1992,43.93
Germany,DEU,1993,43.17
Germany,DEU,1994,42.85
Germany,DEU,1995,43.09
Germany,DEU,1996,43.25
Germany,DEU,1997,43.08
Germany,DEU,1998,43.36
Germany,DEU,1999,44.44
Germany,DEU,2000,44.82
Germany,DEU,2001,45.46
Germany,DEU,2002,45.31
Germany,DEU,2003,45.12
Germany,DEU,2004,44.45
Germany,DEU,2005,45.54
Germany,DEU,2006,46.69
Germany,DEU,2007,47.8
Germany,DEU,2008,48.5
Germany,DEU,2009,49.05
Germany,DEU,2010,49.61
Germany,DEU,2011,50.99
Germany,DEU,2012,51.23
Germany,DEU,2013,51.9
Germany,DEU,2014,52.23
Germany,DEU,2015,52.4
Germany,DEU,2016,53.55
Germany,DEU,2017,54.03
Germany,DEU,2018,54.32
Germany,DEU,2019,55.03
Germany,DEU,2020,53.63
Germany,DEU,2021,53.7
Ghana,GHA,1988,63.2
Ghana,GHA,1989,61
Ghana,GHA,1991,73.85
Ghana,GHA,1992,74.2
Ghana,GHA,1998,60.5
Ghana,GHA,1999,75.8
Ghana,GHA,2000,64.84
Ghana,GHA,2006,65.59
Ghana,GHA,2010,65.4
Ghana,GHA,2013,71.97
Ghana,GHA,2015,61.2
Ghana,GHA,2017,67.07
Greece,GRC,1981,28.43
Greece,GRC,1982,27.33
Greece,GRC,1983,29.68
Greece,GRC,1984,29.86
Greece,GRC,1985,30.65
Greece,GRC,1986,30.59
Greece,GRC,1987,30.59
Greece,GRC,1988,31.3
Greece,GRC,1989,31.32
Greece,GRC,1990,31.28
Greece,GRC,1991,28.87
Greece,GRC,1992,29.82
Greece,GRC,1993,29.81
Greece,GRC,1994,30.2
Greece,GRC,1995,30.59
Greece,GRC,1996,30.92
Greece,GRC,1997,30.84
Greece,GRC,1998,40.85
Greece,GRC,1999,32.52
Greece,GRC,2000,32.93
Greece,GRC,2001,32.66
Greece,GRC,2002,33.19
Greece,GRC,2003,33.91
Greece,GRC,2004,34.45
Greece,GRC,2005,34.97
Greece,GRC,2006,36.08
Greece,GRC,2007,36.33
Greece,GRC,2008,37.06
Greece,GRC,2009,37.19
Greece,GRC,2010,36.36
Greece,GRC,2011,33.9
Greece,GRC,2012,31.11
Greece,GRC,2013,29.63
Greece,GRC,2014,30.41
Greece,GRC,2015,31.46
Greece,GRC,2016,31.97
Greece,GRC,2017,32.7
Greece,GRC,2018,33.23
Greece,GRC,2019,34.56
Greece,GRC,2020,35.01
Greece,GRC,2021,35.31
Greenland,GRL,2008,58
Greenland,GRL,2009,58
Greenland,GRL,2010,57
Greenland,GRL,2011,57
Greenland,GRL,2012,56
Greenland,GRL,2013,57
Greenland,GRL,2014,56
Greenland,GRL,2015,57
Grenada,GRD,1988,36.36
Grenada,GRD,1998,43.3
Guam,GUM,1980,43.5
Guam,GUM,1983,43.07
Guam,GUM,1986,44.83
Guam,GUM,1990,53
Guam,GUM,2002,49.5
Guam,GUM,2004,48.7
Guam,GUM,2005,50.9
Guam,GUM,2006,51.5
Guam,GUM,2007,43.9
Guam,GUM,2009,48.4
Guam,GUM,2010,51.2
Guam,GUM,2011,47.7
Guatemala,GTM,2000,44.9
Guatemala,GTM,2002,45.1
Guatemala,GTM,2003,46.67
Guatemala,GTM,2004,41.01
Guatemala,GTM,2006,49.75
Guatemala,GTM,2010,40.38
Guatemala,GTM,2011,37.6
Guatemala,GTM,2012,43.99
Guatemala,GTM,2013,38.86
Guatemala,GTM,2014,39.2
Guatemala,GTM,2015,37.49
Guatemala,GTM,2016,38.7
Guatemala,GTM,2017,37.83
Guatemala,GTM,2018,38.01
Guatemala,GTM,2019,36.73
Guinea,GIN,2002,60.58
Guinea,GIN,2019,40.7
Guinea-Bissau,GNB,2018,47.74
Guyana,GUY,1987,26.94
Guyana,GUY,2002,29.21
Guyana,GUY,2018,35.43
Guyana,GUY,2019,33.36
Haiti,HTI,1980,55.08
Haiti,HTI,1990,44.2
Haiti,HTI,2003,28
Haiti,HTI,2012,45.32
High-income countries,,1979,40.974293
High-income countries,,1980,40.920685
High-income countries,,1982,41.722553
High-income countries,,1983,41.28108
High-income countries,,1984,42.347813
High-income countries,,1985,42.523365
High-income countries,,1986,43.17257
High-income countries,,1987,43.91282
High-income countries,,1988,44.500023
High-income countries,,1989,45.36823
High-income countries,,1990,45.99616
High-income countries,,1991,46.371243
High-income countries,,1992,46.06643
High-income countries,,1993,46.315807
High-income countries,,1994,46.49094
High-income countries,,1995,47.002914
High-income countries,,1996,46.88696
High-income countries,,1997,47.14798
High-income countries,,1998,47.33234
High-income countries,,1999,47.312725
High-income countries,,2000,47.524754
High-income countries,,2001,47.74699
High-income countries,,2002,47.4385
High-income countries,,2003,48.00401
High-income countries,,2004,48.14442
High-income countries,,2005,48.497665
High-income countries,,2006,48.655136
High-income countries,,2007,49.590557
High-income countries,,2008,49.70905
High-income countries,,2009,49.007305
High-income countries,,2010,48.73692
High-income countries,,2011,48.80119
High-income countries,,2012,48.83423
High-income countries,,2013,49.05975
High-income countries,,2014,49.456245
High-income countries,,2015,49.100563
High-income countries,,2016,50.243
High-income countries,,2017,50.160725
High-income countries,,2018,50.71058
High-income countries,,2019,51.253746
High-income countries,,2020,49.23676
High-income countries,,2021,50.724575
Honduras,HND,1991,32.21
Honduras,HND,1992,34.64
Honduras,HND,1995,34.66
Honduras,HND,1998,42.12
Honduras,HND,1999,46.24
Honduras,HND,2001,38.34
Honduras,HND,2002,35.9
Honduras,HND,2003,37.4
Honduras,HND,2004,36.46
Honduras,HND,2005,39.55
Honduras,HND,2006,37.71
Honduras,HND,2007,37.1
Honduras,HND,2008,38.72
Honduras,HND,2009,39.94
Honduras,HND,2010,41.01
Honduras,HND,2011,37.9
Honduras,HND,2012,37.06
Honduras,HND,2013,40.97
Honduras,HND,2014,42.63
Honduras,HND,2015,43.36
Honduras,HND,2016,42.75
Honduras,HND,2017,43.1
Honduras,HND,2018,47.45
Honduras,HND,2019,44.36
Honduras,HND,2020,41.79
Hong Kong,HKG,1979,42.07
Hong Kong,HKG,1980,43.23
Hong Kong,HKG,1981,46.84
Hong Kong,HKG,1982,45.96
Hong Kong,HKG,1983,45.88
Hong Kong,HKG,1984,47.32
Hong Kong,HKG,1985,47.2
Hong Kong,HKG,1986,47.59
Hong Kong,HKG,1987,47.6
Hong Kong,HKG,1988,47.3
Hong Kong,HKG,1989,46.17
Hong Kong,HKG,2009,50.93
Hong Kong,HKG,2010,50.09
Hong Kong,HKG,2011,51.47
Hong Kong,HKG,2012,52.07
Hong Kong,HKG,2013,52.87
Hong Kong,HKG,2014,52.9
Hong Kong,HKG,2015,53
Hong Kong,HKG,2016,53.11
Hong Kong,HKG,2017,53.58
Hong Kong,HKG,2018,53.91
Hong Kong,HKG,2019,53.81
Hong Kong,HKG,2020,51.75
Hong Kong,HKG,2021,51.9
Hungary,HUN,1978,40.97
Hungary,HUN,1979,41.18
Hungary,HUN,1981,45.21
Hungary,HUN,1985,44.8
Hungary,HUN,1986,44.93
Hungary,HUN,1987,44.79
Hungary,HUN,1988,45.25
Hungary,HUN,1989,45.38
Hungary,HUN,1990,44.73
Hungary,HUN,1991,42.74
Hungary,HUN,1992,46.59
Hungary,HUN,1993,43.47
Hungary,HUN,1994,41.92
Hungary,HUN,1995,40
Hungary,HUN,1996,36.38
Hungary,HUN,1997,36.04
Hungary,HUN,1998,37.25
Hungary,HUN,1999,38.89
Hungary,HUN,2000,39.26
Hungary,HUN,2001,39.12
Hungary,HUN,2002,39.29
Hungary,HUN,2003,40.09
Hungary,HUN,2004,39.77
Hungary,HUN,2005,39.88
Hungary,HUN,2006,39.97
Hungary,HUN,2007,39.65
Hungary,HUN,2008,39.31
Hungary,HUN,2009,38.66
Hungary,HUN,2010,39.11
Hungary,HUN,2011,39.14
Hungary,HUN,2012,40.2
Hungary,HUN,2013,40.55
Hungary,HUN,2014,42.78
Hungary,HUN,2015,44.02
Hungary,HUN,2016,45.58
Hungary,HUN,2017,46.16
Hungary,HUN,2018,46.75
Hungary,HUN,2019,47.05
Hungary,HUN,2020,46.32
Hungary,HUN,2021,50.58
Iceland,ISL,1991,70.79
Iceland,ISL,1992,70.61
Iceland,ISL,1993,70.31
Iceland,ISL,1994,70.77
Iceland,ISL,1995,73.61
Iceland,ISL,1996,73.13
Iceland,ISL,1997,71.56
Iceland,ISL,1998,73.07
Iceland,ISL,1999,76.09
Iceland,ISL,2000,77.67
Iceland,ISL,2001,76.71
Iceland,ISL,2002,76.18
Iceland,ISL,2003,75.61
Iceland,ISL,2004,74.69
Iceland,ISL,2005,75.16
Iceland,ISL,2006,75.37
Iceland,ISL,2007,75.98
Iceland,ISL,2008,75.02
Iceland,ISL,2009,72.06
Iceland,ISL,2010,71.61
Iceland,ISL,2011,71.65
Iceland,ISL,2012,72.71
Iceland,ISL,2013,73.7
Iceland,ISL,2014,74.89
Iceland,ISL,2015,76.44
Iceland,ISL,2016,77.32
Iceland,ISL,2017,76.75
Iceland,ISL,2018,75.94
Iceland,ISL,2019,74.97
Iceland,ISL,2020,71.03
Iceland,ISL,2021,64.88
India,IND,1994,26.32
India,IND,2000,29.96
India,IND,2005,27.63
India,IND,2010,27.81
India,IND,2012,26.23
India,IND,2018,19.15
India,IND,2019,22.58
Indonesia,IDN,1976,54.82
Indonesia,IDN,1977,41.86
Indonesia,IDN,1978,46.73
Indonesia,IDN,1982,44.39
Indonesia,IDN,1986,51.75
Indonesia,IDN,1988,52.77
Indonesia,IDN,1989,52.25
Indonesia,IDN,1990,49.19
Indonesia,IDN,1991,48.12
Indonesia,IDN,1992,48.94
Indonesia,IDN,1993,48.03
Indonesia,IDN,1994,48.2
Indonesia,IDN,1996,47.75
Indonesia,IDN,1997,47.11
Indonesia,IDN,1998,48.02
Indonesia,IDN,1999,47.64
Indonesia,IDN,2000,48.22
Indonesia,IDN,2001,46.31
Indonesia,IDN,2002,44.24
Indonesia,IDN,2003,43.83
Indonesia,IDN,2004,42.87
Indonesia,IDN,2005,41.29
Indonesia,IDN,2006,41.66
Indonesia,IDN,2007,44.84
Indonesia,IDN,2008,46.31
Indonesia,IDN,2009,46.94
Indonesia,IDN,2010,47.71
Indonesia,IDN,2011,48.13
Indonesia,IDN,2012,49.01
Indonesia,IDN,2013,48.54
Indonesia,IDN,2014,48.66
Indonesia,IDN,2015,48.51
Indonesia,IDN,2016,48.97
Indonesia,IDN,2017,50.12
Indonesia,IDN,2018,50.89
Indonesia,IDN,2019,52.11
Indonesia,IDN,2020,51.17
Indonesia,IDN,2021,50.4
Iran,IRN,1986,6.1
Iran,IRN,1991,6.6
Iran,IRN,1996,9.86
Iran,IRN,2005,15.48
Iran,IRN,2006,15.14
Iran,IRN,2007,14.34
Iran,IRN,2008,12.33
Iran,IRN,2009,13.11
Iran,IRN,2010,12.09
Iran,IRN,2011,10.85
Iran,IRN,2012,11.93
Iran,IRN,2013,10.75
Iran,IRN,2014,10.47
Iran,IRN,2015,11.6
Iran,IRN,2016,12.88
Iran,IRN,2017,13.93
Iran,IRN,2018,14.2
Iran,IRN,2019,14
Iran,IRN,2020,11.7
Iraq,IRQ,2007,11.31
Iraq,IRQ,2012,10.42
Iraq,IRQ,2014,10.63
Iraq,IRQ,2016,11.31
Iraq,IRQ,2017,7.72
Iraq,IRQ,2021,7.72
Ireland,IRL,1983,28.78
Ireland,IRL,1984,27.67
Ireland,IRL,1985,26.9
Ireland,IRL,1986,27.25
Ireland,IRL,1987,28.26
Ireland,IRL,1988,28.05
Ireland,IRL,1989,28.87
Ireland,IRL,1990,30.08
Ireland,IRL,1991,30.06
Ireland,IRL,1992,31.19
Ireland,IRL,1993,32.46
Ireland,IRL,1994,33.7
Ireland,IRL,1995,35.11
Ireland,IRL,1996,36.66
Ireland,IRL,1997,38.34
Ireland,IRL,1998,40.71
Ireland,IRL,1999,43.33
Ireland,IRL,2000,45.14
Ireland,IRL,2001,45.88
Ireland,IRL,2002,46.96
Ireland,IRL,2003,47.17
Ireland,IRL,2004,47.54
Ireland,IRL,2005,49.74
Ireland,IRL,2006,50.8
Ireland,IRL,2007,54.17
Ireland,IRL,2008,53.59
Ireland,IRL,2009,50.77
Ireland,IRL,2010,48.95
Ireland,IRL,2011,48.09
Ireland,IRL,2012,47.78
Ireland,IRL,2013,48.41
Ireland,IRL,2014,48.95
Ireland,IRL,2015,49.96
Ireland,IRL,2016,51.36
Ireland,IRL,2017,52.15
Ireland,IRL,2018,52.85
Ireland,IRL,2019,53.61
Ireland,IRL,2020,51.98
Ireland,IRL,2021,54.3
Isle of Man,IMN,1991,44.97
Isle of Man,IMN,1996,48.49
Isle of Man,IMN,2001,54.87
Isle of Man,IMN,2006,55.11
Isle of Man,IMN,2011,55.9
Isle of Man,IMN,2016,78.28
Israel,ISR,1974,29.8
Israel,ISR,1976,30.45
Israel,ISR,1978,33.06
Israel,ISR,1979,33.58
Israel,ISR,1980,33.56
Israel,ISR,1981,33.84
Israel,ISR,1982,33.94
Israel,ISR,1983,34.65
Israel,ISR,1984,34.92
Israel,ISR,1985,34.43
Israel,ISR,1986,35.46
Israel,ISR,1987,36.05
Israel,ISR,1988,37
Israel,ISR,1989,37.06
Israel,ISR,1990,40.17
Israel,ISR,1991,39.56
Israel,ISR,1992,40.39
Israel,ISR,1993,42.21
Israel,ISR,1994,44.71
Israel,ISR,1995,46.31
Israel,ISR,1996,46.62
Israel,ISR,1997,46.09
Israel,ISR,1998,45.87
Israel,ISR,1999,46.77
Israel,ISR,2000,47.76
Israel,ISR,2001,47.68
Israel,ISR,2002,46.87
Israel,ISR,2003,47.15
Israel,ISR,2004,47.57
Israel,ISR,2005,49.22
Israel,ISR,2006,49.74
Israel,ISR,2007,50.87
Israel,ISR,2008,51.89
Israel,ISR,2009,52.13
Israel,ISR,2010,52.95
Israel,ISR,2011,53.18
Israel,ISR,2012,54.07
Israel,ISR,2013,54.59
Israel,ISR,2014,55.69
Israel,ISR,2015,55.93
Israel,ISR,2016,56.44
Israel,ISR,2017,56.7
Israel,ISR,2018,57.43
Israel,ISR,2019,57.24
Israel,ISR,2020,55.81
Israel,ISR,2021,55.73
Italy,ITA,1978,27.35
Italy,ITA,1979,27.77
Italy,ITA,1980,28.3
Italy,ITA,1982,28
Italy,ITA,1983,28.18
Italy,ITA,1984,27.83
Italy,ITA,1985,28.01
Italy,ITA,1986,28.35
Italy,ITA,1987,28.48
Italy,ITA,1988,28.67
Italy,ITA,1989,29.04
Italy,ITA,1990,29.5
Italy,ITA,1991,30.34
Italy,ITA,1992,29.3
Italy,ITA,1993,28.58
Italy,ITA,1994,28.39
Italy,ITA,1995,28.14
Italy,ITA,1996,28.46
Italy,ITA,1997,28.58
Italy,ITA,1998,28.94
Italy,ITA,1999,29.62
Italy,ITA,2000,30.37
Italy,ITA,2001,31.48
Italy,ITA,2002,32.12
Italy,ITA,2003,32.87
Italy,ITA,2004,34.52
Italy,ITA,2005,34.24
Italy,ITA,2006,34.84
Italy,ITA,2007,34.97
Italy,ITA,2008,35.38
Italy,ITA,2009,34.7
Italy,ITA,2010,34.5
Italy,ITA,2011,34.73
Italy,ITA,2012,35.02
Italy,ITA,2013,34.49
Italy,ITA,2014,34.58
Italy,ITA,2015,34.72
Italy,ITA,2016,35.28
Italy,ITA,2017,35.86
Italy,ITA,2018,36.26
Italy,ITA,2019,36.68
Italy,ITA,2020,35.78
Italy,ITA,2021,35.85
Jamaica,JAM,1974,40.63
Jamaica,JAM,1975,39.95
Jamaica,JAM,1976,40.02
Jamaica,JAM,1978,40.22
Jamaica,JAM,1980,38.29
Jamaica,JAM,1981,38.94
Jamaica,JAM,1982,38.3
Jamaica,JAM,1985,40.41
Jamaica,JAM,1988,47.01
Jamaica,JAM,1990,48.49
Jamaica,JAM,1994,48.58
Jamaica,JAM,1995,47.87
Jamaica,JAM,1996,46.61
Jamaica,JAM,1997,45.34
Jamaica,JAM,1998,44.84
Jamaica,JAM,1999,42.89
Jamaica,JAM,2001,42.47
Jamaica,JAM,2007,48.9
Jamaica,JAM,2008,50.58
Jamaica,JAM,2009,48.75
Jamaica,JAM,2010,47.11
Jamaica,JAM,2011,46.92
Jamaica,JAM,2012,46.7
Jamaica,JAM,2013,46.25
Jamaica,JAM,2014,46.92
Jamaica,JAM,2015,46.2
Jamaica,JAM,2016,49.68
Jamaica,JAM,2017,51.35
Jamaica,JAM,2018,52.36
Jamaica,JAM,2019,53.88
Jamaica,JAM,2020,51.26
Jamaica,JAM,2021,51.14
Japan,JPN,1960,53.62
Japan,JPN,1961,53.52
Japan,JPN,1962,52.61
Japan,JPN,1963,51.3
Japan,JPN,1964,50.45
Japan,JPN,1965,49.97
Japan,JPN,1966,50.17
Japan,JPN,1967,50.44
Japan,JPN,1968,50.08
Japan,JPN,1969,49.56
